#      R          P(R)      ERROR
#
  0.6990E+01  0.1215E+00  0.1310E-01
  0.7029E+01  0.1154E+00  0.1322E-01
  0.7068E+01  0.1079E+00  0.1306E-01
  0.7107E+01  0.9881E-01  0.1258E-01
  0.7146E+01  0.8794E-01  0.1172E-01
  0.7185E+01  0.7510E-01  0.1043E-01
  0.7223E+01  0.6009E-01  0.8669E-02
  0.7262E+01  0.4271E-01  0.6378E-02
  0.7301E+01  0.2276E-01  0.3506E-02
  0.7340E+01  0.0000E+00  0.0000E+00
