# Fitted chi: 0.21616 +- 0.00597583
# Scaling factor for file 1: 0.837704 +- 0.00192988
# Scaling factor for file 2: 0.122897 +- 0.0490925
# Scaling factor for file 3: 0.0126132 +- 0.0872746
# Scaling factor for file 4: 0.0251624 +- 0.0625283

@type xydy
0.9841445 34.300363 0.116322791239
0.9888874 34.198738 0.115953753698
0.9936302 33.951277 0.115338199047
0.9983731 33.760592 0.114818427132
1.003116 33.920858 0.114896887358
1.007859 33.699354 0.114329765134
1.012602 33.949601 0.114562017464
1.017345 33.428634 0.113488886037
1.022087 33.350143 0.11316732876
1.02683 33.381145 0.113033123072
1.031573 33.367709 0.112824054077
1.036316 33.344329 0.112597832024
1.041059 33.281652 0.112307512277
1.045802 33.148075 0.1118992134
1.050545 33.164444 0.111744786542
1.055287 33.238573 0.111686441532
1.06003 32.991616 0.111090723823
1.064773 32.863191 0.110695761936
1.069516 32.960842 0.110682102603
1.074259 32.967303 0.110514138268
1.079002 32.647159 0.109800277569
1.083745 32.529963 0.109452365762
1.088488 32.685451 0.109563831259
1.09323 32.403289 0.108868351021
1.097973 32.418518 0.108721832718
1.102716 32.275235 0.108310993373
1.107459 32.138223 0.107911532555
1.112202 32.079781 0.107643368472
1.116945 32.173577 0.107632441593
1.121688 32.001697 0.107177920508
1.12643 32.239307 0.107408532817
1.131173 31.906911 0.10668714998
1.135916 31.685835 0.106152794491
1.140659 31.63327 0.105902079844
1.145402 31.683806 0.105824492677
1.150145 31.787619 0.105834749871
1.154888 31.669058 0.105476120183
1.159631 31.496439 0.105028770882
1.164373 31.616431 0.10507002086
1.169116 31.230422 0.104346096315
1.173859 31.343806 0.104349546031
1.178602 31.234657 0.103961399887
1.183345 31.206408 0.103759213545
1.188088 31.189842 0.103575931036
1.192831 31.030642 0.103157272526
1.197573 31.034896 0.103011453928
1.202316 30.979985 0.102768524532
1.207059 31.025343 0.103024126689
1.211802 30.985944 0.106330076488
1.216545 30.882246 0.108361535984
1.221288 30.842691 0.109920086
1.226031 30.966537 0.111519594619
1.230774 30.903047 0.112633450302
1.235516 30.692977 0.113372907874
1.240259 30.540286 0.114137299808
1.245002 30.478522 0.115009630285
1.249745 30.420389 0.115842293035
1.254488 30.419552 0.116746797247
