@s0 legend "1"
4.908865000000000034e-01 52.64236533  1.57032557
4.956293999999999977e-01 52.44917208  1.55503512
5.003722999999999921e-01 52.16498258  1.56294028
5.051151000000000391e-01 51.91231767  1.57653126
5.098580000000000334e-01 51.7209835   1.53959508
5.146009000000000277e-01 51.59474583  1.51030096
5.193436999999999637e-01 51.34695692  1.52064863
5.240865999999999580e-01 51.11411133  1.50306004
5.288294999999999524e-01 50.95878942  1.48360569
5.335722999999999994e-01 50.77654058  1.4904787 
5.383151999999999937e-01 50.54645883  1.47425471
5.430580999999999881e-01 50.29183542  1.47067735
5.478009000000000350e-01 50.03175017  1.46089413
5.525438000000000294e-01 49.86775408  1.41444712
5.572867000000000237e-01 49.68501967  1.4102269 
5.620294999999999597e-01 49.55963258  1.40248467
5.667723999999999540e-01 49.35129583  1.37781496
5.715152000000000010e-01 49.05250758  1.36670709
5.762580999999999953e-01 48.82415367  1.36216465
5.810009999999999897e-01 48.82315817  1.36092394
5.857438000000000367e-01 48.58751583  1.33928173
5.904867000000000310e-01 48.3898315   1.31516849
5.952296000000000253e-01 48.19515767  1.31188037
5.999723999999999613e-01 47.89329508  1.3178053 
6.047152999999999556e-01 47.71363892  1.30217365
6.094581999999999500e-01 47.59190717  1.30245832
6.142009999999999970e-01 47.385836    1.28330439
6.189438999999999913e-01 47.18434142  1.25764613
6.236867999999999856e-01 46.9835925   1.27398806
6.284296000000000326e-01 46.87786183  1.2570635 
6.331725000000000270e-01 46.71812358  1.23257916
6.379154000000000213e-01 46.54645108  1.23881587
6.426581999999999573e-01 46.30471825  1.20983263
6.474010999999999516e-01 46.11877183  1.19775619
6.521439999999999459e-01 45.98622192  1.18594614
6.568867999999999929e-01 45.79352883  1.18815886
6.616296999999999873e-01 45.52703367  1.16613707
6.663725999999999816e-01 45.44126433  1.14358363
6.711154000000000286e-01 45.28249175  1.16987706
6.758583000000000229e-01 45.02160942  1.15479192
6.806010999999999589e-01 44.9817185   1.16188156
6.853439999999999532e-01 44.80635167  1.13366388
6.900868999999999476e-01 44.52281975  1.11415033
6.948296999999999946e-01 44.39419067  1.09241689
6.995725999999999889e-01 44.34048733  1.08847234
7.043154999999999832e-01 44.1439265   1.10482399
7.090583000000000302e-01 43.94963208  1.07592308
7.138012000000000246e-01 43.79047525  1.06568671
7.185441000000000189e-01 43.55864508  1.05662095
7.232868999999999549e-01 43.47265967  1.05220855
7.280297999999999492e-01 43.30978017  1.04222121
7.327727000000000546e-01 43.0555245  1.0073646
7.375154999999999905e-01 42.87371358  1.03224223
7.422583999999999849e-01 42.83951017  1.00765153
7.470012999999999792e-01 42.66931392  0.99581641
7.517441000000000262e-01 42.4418035   0.97659936
7.564870000000000205e-01 42.30448342  0.99470274
7.612299000000000149e-01 42.19813275  0.98657078
7.659726999999999508e-01 41.95721583  0.96128298
7.707155999999999452e-01 41.87019258  0.9495593 
7.754585000000000505e-01 41.70178367  0.94854452
7.802012999999999865e-01 41.60787992  0.93552804
7.849441999999999808e-01 41.460674    0.93809686
7.896870000000000278e-01 41.264019    0.92887808
7.944299000000000222e-01 41.16599558  0.92239901
7.991728000000000165e-01 41.008607   0.9180791
8.039155999999999525e-01 40.70764817  0.894309  
8.086584999999999468e-01 40.71876642  0.89481507
8.134014000000000522e-01 40.54369458  0.90752486
8.181441999999999881e-01 40.46956667  0.88009253
8.228870999999999825e-01 40.23927725  0.87054382
