@s0 legend "1"
7.944299000000000222e-01 2.57981984e+01 1.02593587e-02
7.991728000000000165e-01 2.58111291e+01 9.82784641e-03
8.039155999999999525e-01 2.57946395e+01 1.13251883e-02
8.086584999999999468e-01 2.58290787e+01 1.08992772e-02
8.134014000000000522e-01 2.58229524e+01 1.04069873e-02
8.181441999999999881e-01 2.58300609e+01 9.59200625e-03
8.228870999999999825e-01 2.5829100e+01 1.0122144e-02
8.276299999999999768e-01 2.58031182e+01 1.04158644e-02
8.323728000000000238e-01 2.57663459e+01 9.66941109e-03
8.371157000000000181e-01 2.57839001e+01 1.06151990e-02
8.418586000000000125e-01 2.58068792e+01 1.03536195e-02
8.466013999999999484e-01 2.57668941e+01 9.36595575e-03
8.513443000000000538e-01 2.57856050e+01 1.03860539e-02
8.560872000000000481e-01 2.57690229e+01 1.00875464e-02
8.608299999999999841e-01 2.57728670e+01 8.75702753e-03
8.655728999999999784e-01 2.57612635e+01 9.92588358e-03
8.703157999999999728e-01 2.57659328e+01 1.01293473e-02
8.750586000000000197e-01 2.57753319e+01 8.24990882e-03
8.798015000000000141e-01 2.5752294e+01 1.0095548e-02
8.845442999999999500e-01 2.57396649e+01 1.11412976e-02
8.892872000000000554e-01 2.57463578e+01 1.04498743e-02
8.940301000000000498e-01 2.57358422e+01 9.62127569e-03
8.987728999999999857e-01 2.57209359e+01 9.74590292e-03
9.035157999999999801e-01 2.57290842e+01 8.71191810e-03
9.082586999999999744e-01 2.57050258e+01 9.18438223e-03
9.130015000000000214e-01 2.57186988e+01 9.30491512e-03
9.177444000000000157e-01 2.57018361e+01 1.07486222e-02
9.224873000000000101e-01 2.57069228e+01 1.02995328e-02
9.272300999999999460e-01 2.57091630e+01 1.12033372e-02
9.319730000000000514e-01 2.57009525e+01 9.14902556e-03
9.367159000000000457e-01 2.56781919e+01 9.96325789e-03
9.414586999999999817e-01 2.56883835e+01 9.29315617e-03
9.462015999999999760e-01 2.56995806e+01 9.43886805e-03
9.509444999999999704e-01 2.56783795e+01 9.72794423e-03
9.556873000000000173e-01 2.56524879e+01 9.69878935e-03
9.604302000000000117e-01 2.56719682e+01 9.36714473e-03
9.651731000000000060e-01 2.56680041e+01 9.36841093e-03
9.699159000000000530e-01 2.56821215e+01 9.66529701e-03
9.746588000000000473e-01 2.56648076e+01 8.72757911e-03
9.794017000000000417e-01 2.56584711e+01 9.36217283e-03
9.841444999999999776e-01 2.56357580e+01 9.76029765e-03
9.888873999999999720e-01 2.56327125e+01 9.11932616e-03
9.936302000000000190e-01 2.56234172e+01 9.67207213e-03
9.983731000000000133e-01 2.56461504e+01 1.02389585e-02
1.003115999999999897e+00 2.56167895e+01 1.04546764e-02
1.007859000000000060e+00 2.56102066e+01 9.16964331e-03
1.012602000000000002e+00 2.56295843e+01 9.78857228e-03
1.017344999999999944e+00 2.56046284e+01 8.90634746e-03
1.022086999999999968e+00 2.56016332e+01 9.76521965e-03
1.026829999999999909e+00 2.55979298e+01 9.53825531e-03
1.031573000000000073e+00 2.55877954e+01 9.10996444e-03
1.036316000000000015e+00 2.55705855e+01 8.79596211e-03
1.041058999999999957e+00 2.55910734e+01 9.24732017e-03
1.045801999999999898e+00 2.55998328e+01 9.11306809e-03
1.050545000000000062e+00 2.55938006e+01 9.87141613e-03
1.055287000000000086e+00 2.55730966e+01 9.82195241e-03
1.060030000000000028e+00 2.55829972e+01 8.36603851e-03
1.064772999999999969e+00 2.55832002e+01 9.75411020e-03
1.069515999999999911e+00 2.55770386e+01 9.84440107e-03
1.074259000000000075e+00 2.55586472e+01 8.97978785e-03
1.079002000000000017e+00 2.55684098e+01 8.72380408e-03
1.083744999999999958e+00 2.55914835e+01 9.15889439e-03
1.088487999999999900e+00 2.55665631e+01 8.95701323e-03
1.093229999999999924e+00 2.55395063e+01 9.92591959e-03
1.097973000000000088e+00 2.55354942e+01 8.39266080e-03
1.102716000000000030e+00 2.55622480e+01 1.00244242e-02
1.107458999999999971e+00 2.55426664e+01 9.32096844e-03
1.112201999999999913e+00 2.55499259e+01 8.33886967e-03
1.116945000000000077e+00 2.55450830e+01 9.96158162e-03
1.121688000000000018e+00 2.55191149e+01 9.67360602e-03
1.126430000000000042e+00 2.55370671e+01 1.05354337e-02
1.131172999999999984e+00 2.55183197e+01 9.59278646e-03
1.135915999999999926e+00 2.55061330e+01 8.83616542e-03
1.140659000000000090e+00 2.55113175e+01 9.89584871e-03
1.145402000000000031e+00 2.54959684e+01 9.54162816e-03
1.150144999999999973e+00 2.54933805e+01 9.18349291e-03
1.154887999999999915e+00 2.55108033e+01 9.13920096e-03
1.159631000000000078e+00 2.54931618e+01 8.77262757e-03
1.164373000000000102e+00 2.55015303e+01 9.74717212e-03
1.169116000000000044e+00 2.54916015e+01 9.37276354e-03
1.173858999999999986e+00 2.54786586e+01 9.62165535e-03
1.178601999999999927e+00 2.54926814e+01 9.07308020e-03
1.183345000000000091e+00 2.54707557e+01 9.15441277e-03
1.188088000000000033e+00 2.54777464e+01 8.50137935e-03
1.192830999999999975e+00 2.54648870e+01 8.55257225e-03
1.197572999999999999e+00 2.54696495e+01 9.10666807e-03
1.202315999999999940e+00 2.55060361e+01 8.53875451e-03
1.207059000000000104e+00 2.56316295e+01 9.05420718e-03
1.211802000000000046e+00 2.55822408e+01 9.11060826e-03
1.216544999999999987e+00 2.55261911e+01 1.00667657e-02
1.221287999999999929e+00 2.55213314e+01 9.82354271e-03
1.226031000000000093e+00 2.55046204e+01 9.28524935e-03
1.230774000000000035e+00 2.54806171e+01 8.90309573e-03
1.235516000000000059e+00 2.54820969e+01 1.07162748e-02
1.240259000000000000e+00 2.54716587e+01 9.86516039e-03
1.245001999999999942e+00 2.54577181e+01 1.04954601e-02
1.249745000000000106e+00 2.54480273e+01 1.05405470e-02
1.254488000000000048e+00 2.54087596e+01 9.81379854e-03
1.259230999999999989e+00 2.53676266e+01 1.08697836e-02
1.263973999999999931e+00 2.53687392e+01 1.05930142e-02
1.268715999999999955e+00 2.53517166e+01 1.09447543e-02
1.273458999999999897e+00 2.55165945e+01 1.01239798e-02
1.278202000000000060e+00 2.56782412e+01 1.06784184e-02
1.282945000000000002e+00 2.55667778e+01 9.40495384e-03
1.287687999999999944e+00 2.55343064e+01 9.34747187e-03
1.292431000000000108e+00 2.55324835e+01 9.35259774e-03
1.297174000000000049e+00 2.55234481e+01 8.08158714e-03
1.301916000000000073e+00 2.55059163e+01 8.38768538e-03
1.306659000000000015e+00 2.55047211e+01 8.96284888e-03
1.311401999999999957e+00 2.54962519e+01 9.86669531e-03
1.316144999999999898e+00 2.55006520e+01 9.74911988e-03
1.320888000000000062e+00 2.54878847e+01 9.56670818e-03
1.325631000000000004e+00 2.54856401e+01 9.91334600e-03
1.330373999999999945e+00 2.54772695e+01 1.01946956e-02
1.335117000000000109e+00 2.54601467e+01 9.92640215e-03
1.339858999999999911e+00 2.54686656e+01 9.21609328e-03
1.344602000000000075e+00 2.54650407e+01 8.97751210e-03
1.349345000000000017e+00 2.54405426e+01 1.02452737e-02
1.354087999999999958e+00 2.54536166e+01 8.85014111e-03
1.358830999999999900e+00 2.54429781e+01 9.59468528e-03
1.363574000000000064e+00 2.54380949e+01 7.99225764e-03
1.368317000000000005e+00 2.54434959e+01 9.52171370e-03
1.373059000000000029e+00 2.54502809e+01 9.56899215e-03
