@s0 legend "1"
1.050545 2.55938006e+01 9.87141613e-03
1.055287 2.55730966e+01 9.82195241e-03
1.06003 2.55829972e+01 8.36603851e-03
1.064773 2.55832002e+01 9.75411020e-03
1.069516 2.55770386e+01 9.84440107e-03
1.074259 2.55586472e+01 8.97978785e-03
1.079002 2.55684098e+01 8.72380408e-03
1.083745 2.55914835e+01 9.15889439e-03
1.088488 2.55665631e+01 8.95701323e-03
1.09323 2.55395063e+01 9.92591959e-03
1.097973 2.55354942e+01 8.39266080e-03
1.102716 2.55622480e+01 1.00244242e-02
1.107459 2.55426664e+01 9.32096844e-03
1.112202 2.55499259e+01 8.33886967e-03
1.116945 2.55450830e+01 9.96158162e-03
1.121688 2.55191149e+01 9.67360602e-03
1.12643 2.55370671e+01 1.05354337e-02
1.131173 2.55183197e+01 9.59278646e-03
1.135916 2.55061330e+01 8.83616542e-03
1.140659 2.55113175e+01 9.89584871e-03
1.145402 2.54959684e+01 9.54162816e-03
1.150145 2.54933805e+01 9.18349291e-03
1.154888 2.55108033e+01 9.13920096e-03
1.159631 2.54931618e+01 8.77262757e-03
1.164373 2.55015303e+01 9.74717212e-03
1.169116 2.54916015e+01 9.37276354e-03
1.173859 2.54786586e+01 9.62165535e-03
1.178602 2.54926814e+01 9.07308020e-03
1.183345 2.54707557e+01 9.15441277e-03
1.188088 2.54777464e+01 8.50137935e-03
1.192831 2.54648870e+01 8.55257225e-03
1.197573 2.54696495e+01 9.10666807e-03
1.202316 2.55060361e+01 8.53875451e-03
1.207059 2.56316295e+01 9.05420718e-03
1.211802 2.55822408e+01 9.11060826e-03
1.216545 2.55261911e+01 1.00667657e-02
1.221288 2.55213314e+01 9.82354271e-03
1.226031 2.55046204e+01 9.28524935e-03
1.230774 2.54806171e+01 8.90309573e-03
1.235516 2.54820969e+01 1.07162748e-02
1.240259 2.54716587e+01 9.86516039e-03
1.245002 2.54577181e+01 1.04954601e-02
1.249745 2.54480273e+01 1.05405470e-02
1.254488 2.54087596e+01 9.81379854e-03
1.259231 2.53676266e+01 1.08697836e-02
1.263974 2.53687392e+01 1.05930142e-02
1.268716 2.53517166e+01 1.09447543e-02
1.273459 2.55165945e+01 1.01239798e-02
1.278202 2.56782412e+01 1.06784184e-02
1.282945 2.55667778e+01 9.40495384e-03
1.287688 2.55343064e+01 9.34747187e-03
1.292431 2.55324835e+01 9.35259774e-03
1.297174 2.55234481e+01 8.08158714e-03
1.301916 2.55059163e+01 8.38768538e-03
1.306659 2.55047211e+01 8.96284888e-03
1.311402 2.54962519e+01 9.86669531e-03
1.316145 2.55006520e+01 9.74911988e-03
1.320888 2.54878847e+01 9.56670818e-03
1.325631 2.54856401e+01 9.91334600e-03
1.330374 2.54772695e+01 1.01946956e-02
1.335117 2.54601467e+01 9.92640215e-03
1.339859 2.54686656e+01 9.21609328e-03
1.344602 2.54650407e+01 8.97751210e-03
1.349345 2.54405426e+01 1.02452737e-02
1.354088 2.54536166e+01 8.85014111e-03
1.358831 2.54429781e+01 9.59468528e-03
1.363574 2.54380949e+01 7.99225764e-03
1.368317 2.54434959e+01 9.52171370e-03
1.373059 2.54502809e+01 9.56899215e-03
1.377802 2.54337931e+01 9.82162122e-03
1.382545 2.54404320e+01 8.58575327e-03
1.387288 2.54486201e+01 8.09281433e-03
1.392031 2.54333155e+01 9.07670165e-03
1.396774 2.54429775e+01 8.07125523e-03
1.401517 2.54325213e+01 7.97703564e-03
1.40626 2.54250034e+01 8.42694905e-03
1.411002 2.54260075e+01 8.75457633e-03
1.415745 2.54154057e+01 8.41515909e-03
1.420488 2.53968835e+01 9.45679641e-03
1.425231 2.54063511e+01 8.63524322e-03
1.429974 2.54094859e+01 8.33371021e-03
1.434717 2.54158010e+01 8.15383042e-03
1.43946 2.54102666e+01 8.55413352e-03
1.444202 2.54013085e+01 7.96228504e-03
1.448945 2.54136548e+01 8.66582836e-03
1.453688 2.53996069e+01 8.96674230e-03
1.458431 2.5393104e+01 8.7500213e-03
1.463174 2.53840499e+01 8.63363215e-03
1.467917 2.53824983e+01 8.74779038e-03
1.47266 2.53855711e+01 9.68694576e-03
1.477402 2.53963049e+01 8.07178117e-03
1.482145 2.53999056e+01 8.51277418e-03
1.486888 2.53955228e+01 8.83589216e-03
1.491631 2.53918305e+01 9.03610154e-03
1.496374 2.53975489e+01 8.49796117e-03
1.501117 2.5478588e+01 8.6830291e-03
1.50586 2.55325070e+01 9.04707879e-03
1.510603 2.54611146e+01 1.02892375e-02
1.515345 2.54431741e+01 8.85874962e-03
1.520088 2.54389842e+01 8.52943754e-03
1.524831 2.54228155e+01 8.69189814e-03
1.529574 2.54152496e+01 9.12986084e-03
1.534317 2.56191137e+01 9.24085677e-03
1.53906 2.55532653e+01 1.07447901e-02
1.543803 2.54795230e+01 8.20367666e-03
1.548545 2.5449182e+01 8.7414928e-03
1.553288 2.54249888e+01 8.47803310e-03
1.558031 2.54126270e+01 8.55185057e-03
1.562774 2.54014795e+01 9.76823655e-03
1.567517 2.53815868e+01 8.10575535e-03
1.57226 2.53836002e+01 8.97931504e-03
1.577003 2.53786715e+01 9.05060689e-03
1.581746 2.53588886e+01 8.77331146e-03
1.586488 2.53482143e+01 9.09839429e-03
1.591231 2.53442072e+01 9.09515616e-03
1.595974 2.53403463e+01 8.69571998e-03
1.600717 2.53359315e+01 8.69182034e-03
1.60546 2.53536829e+01 8.37526334e-03
1.610203 2.53492823e+01 9.09898424e-03
1.614946 2.53358278e+01 9.19464171e-03
1.619688 2.53453718e+01 8.52397152e-03
1.624431 2.53322566e+01 7.83135062e-03
1.629174 2.53480746e+01 8.22209803e-03
1.633917 2.53295591e+01 9.38001478e-03
1.63866 2.53238026e+01 8.12459604e-03
1.643403 2.53408755e+01 8.74992806e-03
1.648146 2.53449799e+01 8.61685810e-03
1.652889 2.53239227e+01 9.58575904e-03
1.657631 2.53107413e+01 8.19119408e-03
1.662374 2.53149540e+01 9.15798329e-03
1.667117 2.53051616e+01 9.10502985e-03
1.67186 2.53081563e+01 8.12590101e-03
1.676603 2.53008454e+01 8.42940413e-03
1.681346 2.53082405e+01 8.10948164e-03
1.686089 2.52886937e+01 8.55553105e-03
1.690831 2.52863433e+01 6.95888502e-03
1.695574 2.52811982e+01 7.79701744e-03
1.700317 2.52990799e+01 8.70175820e-03
1.70506 2.52908701e+01 7.97307297e-03
1.709803 2.52754947e+01 6.68632259e-03
1.714546 2.52707817e+01 8.32552961e-03
1.719289 2.52682063e+01 8.06754910e-03
1.724031 2.52676641e+01 8.95781387e-03
1.728774 2.52601888e+01 8.40321300e-03
1.733517 2.52499389e+01 7.79792993e-03
1.73826 2.52612413e+01 7.87086192e-03
1.743003 2.52621596e+01 7.41937469e-03
1.747746 2.52627803e+01 8.38948294e-03
1.752489 2.52401861e+01 8.04564110e-03
1.757232 2.52445426e+01 9.01721592e-03
1.761974 2.52594296e+01 8.47985461e-03
1.766717 2.52532420e+01 7.73213262e-03
1.77146 2.52457563e+01 7.78752983e-03
1.776203 2.52393577e+01 8.04561054e-03
1.780946 2.52215238e+01 7.92922676e-03
1.785689 2.52213749e+01 7.11583278e-03
1.790432 2.52380096e+01 8.20918701e-03
1.795174 2.52313147e+01 7.66845688e-03
1.799917 2.52291794e+01 8.29614294e-03
1.80466 2.52190933e+01 8.03680464e-03
1.809403 2.52120102e+01 8.01897916e-03
1.814146 2.52207401e+01 8.23388879e-03
1.818889 2.52065362e+01 7.07117199e-03
1.823632 2.52169237e+01 8.46451231e-03
1.828375 2.52086086e+01 8.30834556e-03
1.833117 2.51965517e+01 7.53205330e-03
1.83786 2.51975215e+01 7.34269902e-03
1.842603 2.51962433e+01 7.45396194e-03
1.847346 2.51841228e+01 8.27996516e-03
1.852089 2.51850783e+01 8.22111873e-03
1.856832 2.51828285e+01 8.01634142e-03
1.861575 2.51837409e+01 7.97193708e-03
1.866317 2.51712855e+01 7.97797603e-03
1.87106 2.51656725e+01 8.14832845e-03
1.875803 2.51682697e+01 8.22362532e-03
1.880546 2.5166341e+01 7.9032116e-03
1.885289 2.51688309e+01 7.97918514e-03
1.890032 2.51674155e+01 7.56457335e-03
1.894775 2.51473139e+01 7.75856095e-03
1.899517 2.51516563e+01 8.70481066e-03
1.90426 2.51517464e+01 7.23706570e-03
1.909003 2.51436905e+01 8.41988981e-03
1.913746 2.51451433e+01 8.30476653e-03
1.918489 2.51346753e+01 7.08673698e-03
1.923232 2.51451445e+01 7.50611869e-03
1.927975 2.51300006e+01 8.11639625e-03
1.932718 2.51293409e+01 7.96176587e-03
1.93746 2.51038300e+01 7.45171871e-03
1.942203 2.51071753e+01 7.78561901e-03
1.946946 2.50965669e+01 8.52234992e-03
1.951689 2.51101611e+01 8.27452010e-03
1.956432 2.50873976e+01 7.89473416e-03
1.961175 2.50850008e+01 6.74567049e-03
1.965918 2.50759639e+01 8.44295667e-03
1.97066 2.50773598e+01 7.31190675e-03
1.975403 2.50758182e+01 7.59431064e-03
1.980146 2.50730572e+01 6.92633185e-03
1.984889 2.50543124e+01 7.44940886e-03
1.989632 2.50720317e+01 7.82964559e-03
1.994375 2.50976239e+01 7.99999381e-03
1.999118 2.5089721e+01 7.7207315e-03
2.003861 2.50808391e+01 7.97534281e-03
2.008603 2.51378236e+01 8.27271890e-03
2.013346 2.52563124e+01 7.40468146e-03
2.018089 2.51484409e+01 7.96140640e-03
2.022832 2.51030799e+01 8.77605999e-03
2.027575 2.50918432e+01 7.84706004e-03
2.032318 2.50509904e+01 8.44597194e-03
2.037061 2.50203811e+01 8.10705073e-03
2.041803 2.50111066e+01 8.30957088e-03
2.046546 2.49857549e+01 8.26432403e-03
2.051289 2.49699803e+01 8.35350674e-03
2.056032 2.49766980e+01 8.83321781e-03
2.060775 2.49572151e+01 9.05042370e-03
2.065518 2.49638050e+01 9.57332004e-03
2.070261 2.49485697e+01 9.22769412e-03
2.075003 2.49381869e+01 7.23486734e-03
2.079746 2.51361506e+01 8.47450757e-03
2.084489 2.51381537e+01 7.45835350e-03
2.089232 2.51000561e+01 9.18616578e-03
2.093975 2.50939461e+01 8.07808048e-03
2.098718 2.50721036e+01 7.03115617e-03
