@s0 legend "1"
0.5146009 51.59474583  1.51030096
0.5193437 51.34695692  1.52064863
0.5240866 51.11411133  1.50306004
0.5288295 50.95878942  1.48360569
0.5335723 50.77654058  1.4904787 
0.5383152 50.54645883  1.47425471
0.5430581 50.29183542  1.47067735
0.5478009 50.03175017  1.46089413
0.5525438 49.86775408  1.41444712
0.5572867 49.68501967  1.4102269 
0.5620295 49.55963258  1.40248467
0.5667724 49.35129583  1.37781496
0.5715152 49.05250758  1.36670709
0.5762581 48.82415367  1.36216465
0.581001 48.82315817  1.36092394
0.5857438 48.58751583  1.33928173
0.5904867 48.3898315   1.31516849
0.5952296 48.19515767  1.31188037
0.5999724 47.89329508  1.3178053 
0.6047153 47.71363892  1.30217365
0.6094582 47.59190717  1.30245832
0.614201 47.385836    1.28330439
0.6189439 47.18434142  1.25764613
0.6236868 46.9835925   1.27398806
0.6284296 46.87786183  1.2570635 
0.6331725 46.71812358  1.23257916
0.6379154 46.54645108  1.23881587
0.6426582 46.30471825  1.20983263
0.6474011 46.11877183  1.19775619
0.652144 45.98622192  1.18594614
0.6568868 45.79352883  1.18815886
0.6616297 45.52703367  1.16613707
0.6663726 45.44126433  1.14358363
0.6711154 45.28249175  1.16987706
0.6758583 45.02160942  1.15479192
0.6806011 44.9817185   1.16188156
0.685344 44.80635167  1.13366388
0.6900869 44.52281975  1.11415033
0.6948297 44.39419067  1.09241689
0.6995726 44.34048733  1.08847234
0.7043155 44.1439265   1.10482399
0.7090583 43.94963208  1.07592308
0.7138012 43.79047525  1.06568671
0.7185441 43.55864508  1.05662095
0.7232869 43.47265967  1.05220855
0.7280298 43.30978017  1.04222121
0.7327727 43.0555245  1.0073646
0.7375155 42.87371358  1.03224223
0.7422584 42.83951017  1.00765153
0.7470013 42.66931392  0.99581641
0.7517441 42.4418035   0.97659936
0.756487 42.30448342  0.99470274
0.7612299 42.19813275  0.98657078
0.7659727 41.95721583  0.96128298
0.7707156 41.87019258  0.9495593 
0.7754585 41.70178367  0.94854452
0.7802013 41.60787992  0.93552804
0.7849442 41.460674    0.93809686
0.789687 41.264019    0.92887808
0.7944299 41.16599558  0.92239901
0.7991728 41.008607   0.9180791
0.8039156 40.70764817  0.894309  
0.8086585 40.71876642  0.89481507
0.8134014 40.54369458  0.90752486
0.8181442 40.46956667  0.88009253
0.8228871 40.23927725  0.87054382
0.82763 40.06723283  0.85553807
0.8323728 39.90356417  0.85292939
0.8371157 39.88424958  0.85075804
0.8418586 39.75765308  0.85973362
0.8466014 39.56305033  0.85343452
0.8513443 39.46317192  0.82669604
0.8560872 39.29030558  0.8197318 
0.86083 39.16710958  0.82346305
0.8655729 39.03701558  0.81741463
0.8703158 38.801942    0.79885453
0.8750586 38.76212492  0.77705477
0.8798015 38.59189192  0.78083922
0.8845443 38.50584467  0.77942199
0.8892872 38.41286083  0.75775915
0.8940301 38.24061292  0.76234688
0.8987729 38.14357058  0.76798412
0.9035158 38.0129515   0.75749457
0.9082587 37.91407783  0.75447028
0.9130015 37.76834233  0.73552982
0.9177444 37.66518675  0.72785512
0.9224873 37.51104667  0.72331471
0.9272301 37.44790125  0.74011342
0.931973 37.30568708  0.70188811
0.9367159 37.14435633  0.71282367
0.9414587 37.03700125  0.70001277
0.9462016 36.97269958  0.69803505
0.9509445 36.80861425  0.685689  
0.9556873 36.7368315   0.69609732
0.9604302 36.62837275  0.68946044
0.9651731 36.52824067  0.67515156
0.9699159 36.43283     0.67752957
0.9746588 36.30505733  0.66746161
0.9794017 36.18416392  0.65790936
0.9841445 36.09312233  0.64650771
0.9888874 36.01871808  0.66841933
0.9936302 35.85833825  0.65600545
0.9983731 35.746405    0.64413371
1.003116 35.71500042  0.62483335
1.007859 35.60060433  0.61709502
1.012602 35.5430805   0.60457146
1.017345 35.36463392  0.61528734
1.022087 35.32645708  0.62966879
1.02683 35.21986175  0.61846812
1.031573 35.11311392  0.60819889
1.036316 35.00936825  0.59397674
1.041059 34.90578175  0.58995061
1.045802 34.82349     0.58819428
1.050545 34.75080925  0.5789379 
1.055287 34.70356217  0.56880202
1.06003 34.55006617  0.56296637
1.064773 34.45323167  0.5612744 
1.069516 34.319215    0.56781786
1.074259 34.24791258  0.56932186
1.079002 34.22466108  0.55571772
1.083745 34.12128542  0.5394551 
1.088488 34.06894375  0.5452505 
1.09323 33.95976542  0.52890766
1.097973 33.89203325  0.55178488
1.102716 33.79156842  0.54164986
1.107459 33.71769308  0.54454505
1.112202 33.60432167  0.52064713
1.116945 33.50724167  0.51224499
1.121688 33.43343117  0.51250241
1.12643 33.39358517  0.5134431 
1.131173 33.30608308  0.51750948
1.135916 33.22087933  0.50339037
1.140659 33.14222033  0.4994379 
1.145402 33.09393983  0.50137548
1.150145 33.02483842  0.50006815
1.154888 32.95973925  0.50883554
1.159631 32.91460383  0.4949608 
1.164373 32.8314525   0.47680198
1.169116 32.67336817  0.48913373
1.173859 32.64442867  0.49135834
1.178602 32.56382192  0.47658007
